,rad,smiles
66,198.66906106472015,C=C(C)C1=C(S)[CH]C(C)=C1CC
48,197.3438132405281,CC=C1CC=C(O)C1=C([O])CC
50,197.14826846122742,C=CC(C)=CC(CC)=C([S])CC
67,196.7042669057846,C=CC=C(CS)C(CC)=C([O])O
30,196.39452463388443,C=C(O)C(=CC)C(CC)=C(C)[S]
64,195.99786120653152,C=C1C([O])=C(S)C(C)=C1CCO
41,195.8599659204483,C=C(O)C(C(=CC)CC)=C([O])O
61,195.46536976099014,C=CC=C(CO)C(CC)=C([O])O
54,195.4197111427784,C=C(O)C1=C([O])C(=C)C=C1C
24,195.10048431158066,C=C1C([O])=C(S)C(CO)=C1CC
43,194.44104146957397,C=CCC(C(=C)C(=C)C)=C(C)[O]
13,194.08596456050873,C=C(O)C1=C(O)C(O)=C([O])C1=C
47,193.87189355492592,CC=C1C([O])=C(S)C(O)=C1CO
28,193.7500202357769,C=CC1=C(C)C(C=C)=C([O])C1=C
40,193.58865749835968,C=C(O)C1=C([O])C(=C)C(C)=C1O
39,193.53488832712173,C=C(CCC)C(CS)=C([O])CO
15,193.49513244628906,CC=C(CO)C(CCS)=C([O])O
35,193.35355505560125,C=CC(CCCO)=C(C)C=C[O]
55,193.3292915225029,CC=C1C([O])=CC(CO)=C1CO
2,193.31028658151627,C=C1OC([O])=C(CC)C(C)=C1C
16,193.277812063694,C=C1C([O])=C(CO)C(CC)=C1S
0,193.1413869857788,CCC(C(O)=CCO)=C(O)[N]O
56,193.12252569198608,C=C(O)C(=CC)C(CC)=C([O])O
53,192.9925125837326,C=C(C)CC(C(=C)CO)=C([O])O
49,192.98083239793777,CC=C1C([O])=C(S)C(O)=C1CC
22,192.79255664348602,C=C1C([O])=C(S)C(O)=C1CCC
31,192.78880685567856,C=C1C([O])=C(S)C(CC)=C1CO
19,192.4779268503189,CC=C1C([O])=C(C)C(O)=C1CO
21,192.37492090463638,C=CC(CC)=C([O])CC(=S)CC
57,192.37119591236115,C=C(C)C1=C([O])C(=C)C(CC)=C1
7,192.36587250232697,C=CC(C)=C(CC)C(S)=C([O])O
44,192.2779924273491,C=C(C)C(=C)C(CCO)=C([O])O
58,192.27789390087128,C=C(C)C1=C([O])C(=C)C(C)=C1O
18,192.0873377919197,C=CC1=C([O])C(=CC)C=C1CC
37,192.03218084573746,C=CC1=C([O])C(=C)C=C1CCC
1,192.02890187501907,C=C1C=C(O)C=C(C)C(C)=C1[O]
46,191.9453443459102,C=CC1=C([O])C(=C)C=C1CCO
5,191.79404586553574,CCC1=C(C)C(C)=C(C)C1=C[O]
69,191.77489507198334,C=CC(C(=C)CCCO)=C([O])O
11,191.75416988134384,C=C(CC)C(=C)C(CS)=C(C)[O]
10,191.75267446041107,CCCC1=C(O)C(SO)=C([O])C1
25,191.72898536920547,CC1=C(CO)C(=CCO)C([O])=C1
60,191.70926022529602,C=CC(CCS)=C([O])C(=C)CC
34,191.5379083752632,C=C(O)C1=CC(C)=C([O])C1=C
63,191.50119298696518,CC=C(CO)C(CCC)=C([O])O
51,191.45437681674957,C=C(C)C1=CC(CC)=C([O])C1=C
20,191.42802964789524,C=CC(C=C)=C([O])CCCO
45,191.30640114205224,C=C(C)C(=CC)C(C)=C([O])CO
62,191.19945043325424,CCC=C1C([O])=CC(C)=C1CO
29,191.15052247047424,C=C1C(O)=CC([O])=C1C(C)=CC
26,191.06640380620956,CC=C1C([O])=CC(CC)=C1CO
70,191.0504607473101,C=C1C([O])=C(S)C(C)=C1CCC
32,190.9687241911888,CC=C(C)C(O)=C([S])CCCO
42,190.9099356532097,C=CCC(C(=C)CCO)=C([O])S
27,190.90225110735213,CC=C1C([O])=CC(CO)=C1CC
3,190.61777013540268,C=C(CO)C(C)=C([O])C(=C)CC
23,190.60791367292404,C=C(O)CC(C(=C)CC)=C([O])O
8,190.50767296552658,[O]C1=C(CO)C(S)=C(CCO)C1
17,190.40460622310638,C=C(CCO)C(CCO)=C([O])O
36,190.3990712761879,[O]C1=CC(O)=C(CCO)C1=CS
9,190.369650380952,C=C(CCO)C(CCS)=C(C)[O]
65,190.3675034046173,C=C(C)C1=C([O])C(=CC)C(C)=C1
52,190.3625420331955,C=CC1=C([O])C(=C)C(CO)=C1C
38,190.3541224513735,C=C1C=C(CC)C(CCO)=C1[O]
14,190.35227161645892,C=CC=C1CC(=C)C([O])=C1CC
72,190.2779185771942,C=C(CC)CC(C(=C)C)=C([O])O
59,190.27158247573036,C=C(O)C(CCS)=C([O])CCC
33,190.23311276095254,C=C1C([O])=C(S)C(O)=C1CCO
6,190.09528520703316,C=CC1=C(C)[CH]C(CO)=C1C=C
68,190.0938202738762,CCCC1=CC=C([O])C1=CCO
71,190.03718192236764,C=C(C)CC([O])=C(C=CC)CC
12,190.0343462228775,C=C(CC)C(CC=CO)=C(C)[O]
4,190.0264602303505,CC=C1C([O])=C(S)C(C)=C1CO
