,qed,smiles
596,0.947083336471699,CN1CCc2sc3nc(CSC(=O)C4CC4)[nH]c3c2C1
432,0.9457432889006906,CCSC(=O)c1c(C)sc2nc(N(C)C(C)=O)[nH]c12
423,0.945543543073667,CCc1sc2nc(N(C)C(=O)C(C)(C)C)[nH]c2c1CC#N
74,0.9452178564993219,CN(C)C(=O)c1sc2c(CC#N)c(C3CC3)[nH]c2c1C#N
612,0.9438734555026568,CC(=O)SC(=O)c1sc2nc(C3CC3)[nH]c2c1N(C)C
267,0.9438365642444969,CCC1(c2nc3c(C#N)c(OC(C)(C)C)c(=O)n(C)c3[nH]2)CC1
322,0.943211684640091,CC(C)C(=O)N(C)c1nc2sc(C3CC3)c(C#N)c2[nH]1
608,0.9431867147401235,CCc1nc2sc(C(=O)SC(C)=O)c(N(C)C)c2[nH]1
593,0.942652198331865,CC(=O)N(C(C)=O)c1c(C2CC2)sc2nc(CC#N)[nH]c12
637,0.9424931316415873,CCc1sc2nc(N(C)C(C)=O)[nH]c2c1CSC(C)=O
603,0.9423724235380451,CC(=O)SC(=O)c1sc2nc(C(C)C)[nH]c2c1N(C)C
616,0.9418703737224325,Cc1sc2nc(CC(=O)SC3CC3)[nH]c2c1N(C)C
594,0.9417688478323082,CSC(=O)Cc1nc2sc(C3CC3)c(N(C)C)c2[nH]1
535,0.9417104743349377,CC(=O)SC(=O)Cc1nc2sc(C)c(N(C)C)c2[nH]1
238,0.9415210351296168,CSC(=O)c1c(C2CC2)sc2nc(CN(C)C)[nH]c12
381,0.9411069637416987,CCSC(=O)c1c(C2COC2)sc2nc(CC)[nH]c12
316,0.940978379646577,Cc1sc2nc(N(C)C)[nH]c2c1CSC(=O)C1CC1
2,0.9409707942848923,CC(=O)CC(C)(C)c1c(C)c2c(=O)[nH]sc2n1C(=O)C1CC1
312,0.9409645054949167,CCc1sc2nc(C3CC3)[nH]c2c1C(=O)SC(C)=O
331,0.9409645054949167,CCc1nc2sc(C3CC3)c(C(=O)SC(C)=O)c2[nH]1
305,0.9408593212229823,COCc1sc2nc(C(C)(C)C)[nH]c2c1C(=O)SC
436,0.9408103367925731,COC(C)(C)c1c(C)sc2nc(N(C)C(C)=O)[nH]c12
377,0.9407214551773548,CC(=O)SCc1c(C)sc2nc(C3(C(C)=O)CC3)[nH]c12
393,0.940650239896686,COc1c(C#N)sc2nc(CSC(=O)C(C)(C)C)[nH]c12
522,0.9406139806721935,COCc1nc2sc(C(=O)SC(C)(C)C)c(C#N)c2[nH]1
488,0.9401199398770842,Cc1sc2nc(N(C)C)[nH]c2c1C(=O)SCC1CC1
549,0.9401199398770841,Cc1sc2nc(C(=O)SCC3CC3)[nH]c2c1N(C)C
449,0.9399967138091099,CC(=O)SCCc1nc2sc(C#N)c(C(C)(C)C)c2[nH]1
256,0.9399778743664746,CC(=O)SCc1nc2sc(C#N)c(N(C)C3CC3)c2[nH]1
82,0.9399368042978667,CCC(C)(C)c1nc2[nH]c(C3CC3)c(C#N)c2c(=O)s1
458,0.9398614298986533,CCCc1nc2sc(C#N)c(C(=O)SC(C)=O)c2[nH]1
621,0.9398552181977475,CC(=O)SCc1c(N(C)C2CC2)sc2nc(C)[nH]c12
476,0.9398552181977475,CC(=O)SCc1c(C)sc2nc(N(C)C3CC3)[nH]c12
513,0.9397487340437142,CC(=O)SCc1nc2sc(C)c(C(C)(C)C#N)c2[nH]1
392,0.9394935528517305,CC(=O)SCc1nc2sc(N(C)C)c(C3CC3)c2[nH]1
295,0.9394935528517305,CC(=O)SCc1nc2sc(C3CC3)c(N(C)C)c2[nH]1
532,0.9394935528517305,CC(=O)SCc1sc2nc(C3CC3)[nH]c2c1N(C)C
299,0.9394935528517305,CC(=O)SCc1c(N(C)C)sc2nc(C3CC3)[nH]c12
35,0.9394816556753538,CSC(=O)c1c(CC(C)C)sc2nc(N(C)C)[nH]c12
565,0.9393976538179635,Cc1sc2nc(CC(=O)SC(C)C)[nH]c2c1CC#N
382,0.9393155347272258,COCc1nc2sc(C3CC3)c(C(=O)SC(C)=O)c2[nH]1
435,0.9391717086152616,CCc1sc2nc(CC(=O)SC(C)(C)C)[nH]c2c1C#N
492,0.9391717086152616,CCc1nc2sc(CC(=O)SC(C)(C)C)c(C#N)c2[nH]1
555,0.9391493290159678,CC(=O)SCc1nc2sc(C#N)c(N(C)C(C)C)c2[nH]1
165,0.9391331786425655,CSC(=O)c1c(CC#N)sc2nc(CC3CC3)[nH]c12
497,0.9390423365366629,CSC(=O)c1sc2nc(C3CC3)[nH]c2c1N(C)C
12,0.9390423365366628,CSC(=O)c1c(N(C)C)sc2nc(C3CC3)[nH]c12
