sortedformula,icsdnum,energyperatom,reduced_composition
Ag10Br3Te4,173116.0,-1.71898544118,Ag10Br3Te4
Ag11K1O16V4,391344.0,-4.79770233594,Ag11K1O16V4
Ag15Cl3P4S16,416586.0,-3.05855519737,Ag15Cl3P4S16
Ag16Ca6N1,78395.0,-1.6553704347799998,Ag16Ca6N1
Ag1Al1Li2,57330.0,-2.25011625,Ag1Al1Li2
Ag1Al1O2,160643.0,-5.5964401875,Ag1Al1O2
Ag1Al1S2,604692.0,-3.994060375,Ag1Al1S2
Ag1Al1Se2,604704.0,-3.5346795,Ag1Al1Se2
Ag1Al1Te2,28746.0,-3.0823655,Ag1Al1Te2
Ag1As1Ba1,8278.0,-3.21435066667,Ag1As1Ba1
Ag1As1Ca1,604730.0,-3.24775611111,Ag1As1Ca1
Ag1As1K2,1154.0,-2.289183125,Ag1As1K2
Ag1As1Mg1,655132.0,-2.480892,Ag1As1Mg1
Ag1As1Na2,49007.0,-2.378067,Ag1As1Na2
Ag1As1Pb1S3,26835.0,-3.87106641667,Ag1As1Pb1S3
Ag1As1S1,604740.0,-3.2921735,Ag1As1S1
Ag1As1S2,18101.0,-3.57358129167,Ag1As1S2
Ag1As1Se1,604753.0,-3.06740833333,Ag1As1Se1
Ag1As1Se2,61708.0,-3.207783,Ag1As1Se2
Ag1As1Sr1,49742.0,-3.13307383333,Ag1As1Sr1
Ag1As2La1,420609.0,-4.35853065625,Ag1As2La1
Ag1As3K2Se6,88003.0,-3.63359016667,Ag1As3K2Se6
Ag1As3Rb2Se6,88004.0,-3.6163495625,Ag1As3Rb2Se6
Ag1Au1Ba4O6,72329.0,-5.184224,Ag1Au1Ba4O6
Ag1Au1Cl4,1152.0,-2.06351783333,Ag1Au1Cl4
Ag1Au1Te2,165971.0,-2.249243125,Ag1Au1Te2
Ag1Au1Te4,30874.0,-2.58046766667,Ag1Au1Te4
Ag1Au3I8Rb2,32031.0,-2.0117831071400003,Ag1Au3I8Rb2
Ag1B2,604797.0,-4.175166,Ag1B2
Ag1Ba1Bi1,56978.0,-2.89652083333,Ag1Ba1Bi1
Ag1Ba1La1Se3,659172.0,-4.50969941667,Ag1Ba1La1Se3
Ag1Ba1P1,41706.0,-3.39420233333,Ag1Ba1P1
Ag1Ba1S6Sc3,79931.0,-5.6589493863600016,Ag1Ba1S6Sc3
Ag1Ba1Sb1,56981.0,-3.03383083333,Ag1Ba1Sb1
Ag1Ba1Se3Y1,78177.0,-4.67693233333,Ag1Ba1Se3Y1
Ag1Ba1Te3Y1,88717.0,-4.21606858333,Ag1Ba1Te3Y1
Ag1Ba2In1S4,183654.0,-4.273370625,Ag1Ba2In1S4
Ag1Ba2Si3,410520.0,-3.88256795833,Ag1Ba2Si3
Ag1Be12,109313.0,-3.39323192308,Ag1Be12
Ag1Be2,57347.0,-2.62334816667,Ag1Be2
Ag1Bi1Ca1,416283.0,-2.816493,Ag1Bi1Ca1
Ag1Bi1Cl2S1,413290.0,-3.1699964,Ag1Bi1Cl2S1
Ag1Bi1K2,1156.0,-2.09126325,Ag1Bi1K2
Ag1Bi1Li2,57350.0,-2.48830925,Ag1Bi1Li2
Ag1Bi1P2S6,170639.0,-4.31553825,Ag1Bi1P2S6
Ag1Bi1P2Se6,170640.0,-3.86194,Ag1Bi1P2Se6
Ag1Bi1S2,44340.0,-3.54510341667,Ag1Bi1S2
Ag1Bi1Se2,26519.0,-3.25725391667,Ag1Bi1Se2
Ag1Bi1Sr1,57019.0,-2.76312183333,Ag1Bi1Sr1
Ag1Bi1Te2,604866.0,-2.94940525,Ag1Bi1Te2
Ag1Bi2Cl1S3,412372.0,-3.73655221429,Ag1Bi2Cl1S3
Ag1Bi2Cl1Se3,412371.0,-3.47609621429,Ag1Bi2Cl1Se3
Ag1Bi3S5,200110.0,-4.05324516667,Ag1Bi3S5
Ag1Bi6S9,69456.0,-4.19620175,Ag1Bi6S9
Ag1Br1,56547.0,-1.6938295,Ag1Br1
Ag1Br13Mo6,412903.0,-4.01892095,Ag1Br13Mo6
Ag1Br14W6,410958.0,-4.4054101904800005,Ag1Br14W6
