sortedformula,icsdnum,energyperatom,reduced_composition
Ag1Br3Rb2,150287.0,-2.62872391667,Ag1Br3Rb2
Ag1Br5Pb2,300100.0,-2.853492375,Ag1Br5Pb2
Ag1Br7W3,410959.0,-4.27739334091,Ag1Br7W3
Ag1C3K2N3S3,280727.0,-5.849208125,Ag1C3K2N3S3
Ag1C3N3Rb2S3,49619.0,-5.832092875,Ag1C3N3Rb2S3
Ag1Ca1P1,10016.0,-3.46428944444,Ag1Ca1P1
Ag1Ca1Sb1,56982.0,-2.97285316667,Ag1Ca1Sb1
Ag1Ca2Si3,410522.0,-3.91911425,Ag1Ca2Si3
Ag1Cd1O4V1,401350.0,-5.52960585714,Ag1Cd1O4V1
Ag1Cd1Sb1,52549.0,-1.86581133333,Ag1Cd1Sb1
Ag1Cd2Ga1S4,170108.0,-3.3595595,Ag1Cd2Ga1S4
Ag1Cl1,56539.0,-1.9163665,Ag1Cl1
Ag1Cl3Rb2,280031.0,-2.88723033333,Ag1Cl3Rb2
Ag1Co1O2,246157.0,-4.72501175,Ag1Co1O2
Ag1Cr1O2,25624.0,-6.004117,Ag1Cr1O2
Ag1Cr1S2,42395.0,-4.7098025,Ag1Cr1S2
Ag1Cr1Se2,42397.0,-4.290163,Ag1Cr1Se2
Ag1Cr1Te2,605002.0,-3.88638375,Ag1Cr1Te2
Ag1Cr2K1O7,62783.0,-6.05767525,Ag1Cr2K1O7
Ag1Cr2Te4,71695.0,-4.33622021429,Ag1Cr2Te4
Ag1Cr3O8,155507.0,-6.646084666669999,Ag1Cr3O8
Ag1Cu1O2,93880.0,-3.557860625,Ag1Cu1O2
Ag1Cu1O4V1,419202.0,-5.50705132143,Ag1Cu1O4V1
Ag1Cu1S1,30233.0,-2.49656616667,Ag1Cu1S1
Ag1Cu1Te2,42482.0,-2.26573275,Ag1Cu1Te2
Ag1Cu3K1Mo4O16,401298.0,-6.22798769,Ag1Cu3K1Mo4O16
Ag1Fe1O2,2786.0,-5.270893375,Ag1Fe1O2
Ag1Fe1O7V2,166891.0,-6.76141722727,Ag1Fe1O7V2
Ag1Fe1S2,56263.0,-4.170471375,Ag1Fe1S2
Ag1Fe1Te2,43278.0,-3.295065,Ag1Fe1Te2
Ag1Fe2Mo3O12,260380.0,-6.975329694439999,Ag1Fe2Mo3O12
Ag1Fe2S3,68347.0,-4.69897933333,Ag1Fe2S3
Ag1Ga1O2,95665.0,-4.68761675,Ag1Ga1O2
Ag1Ga1P2Se6,71970.0,-3.7973052375,Ag1Ga1P2Se6
Ag1Ga1S2,156785.0,-3.562203375,Ag1Ga1S2
Ag1Ga1Se2,605211.0,-3.1843135,Ag1Ga1Se2
Ag1Ga1Te2,156128.0,-2.82585425,Ag1Ga1Te2
Ag1Ge1La3S7,605297.0,-5.434127416669999,Ag1Ge1La3S7
Ag1Hf1Rb1Te3,402632.0,-4.01943883333,Ag1Hf1Rb1Te3
Ag1Hg1O4V1,414429.0,-5.14453242857,Ag1Hg1O4V1
Ag1I1,63655.0,-1.53536875,Ag1I1
Ag1I1Se3,414116.0,-2.68128695,Ag1I1Se3
Ag1I1Te3,414117.0,-2.46297905,Ag1I1Te3
Ag1I3K2,150289.0,-2.3755735,Ag1I3K2
Ag1I3Rb2,200002.0,-2.35394145833,Ag1I3Rb2
Ag1In1Li2,58292.0,-2.06961075,Ag1In1Li2
Ag1In1O2,202429.0,-4.436428500000001,Ag1In1O2
Ag1In1O8W2,60373.0,-7.03614391667,Ag1In1O8W2
Ag1In1P2Se6,71968.0,-3.7704267,Ag1In1P2Se6
Ag1In1S2,605417.0,-3.409582,Ag1In1S2
Ag1In1Se2,605453.0,-3.078861125,Ag1In1Se2
Ag1In1Te2,605476.0,-2.753602,Ag1In1Te2
Ag1In3K2Se6,54859.0,-3.4405240625,Ag1In3K2Se6
Ag1In5Se8,35597.0,-3.530703,Ag1In5Se8
Ag1In5Te8,151871.0,-3.13984057143,Ag1In5Te8
Ag1K1O1,40154.0,-3.08096683333,Ag1K1O1
Ag1K1P1Se3,165360.0,-3.473199,Ag1K1P1Se3
Ag1K1Se1,52586.0,-2.50101516667,Ag1K1Se1
Ag1K2Nb1S4,84292.0,-4.3267426875,Ag1K2Nb1S4
Ag1K2P1,402572.0,-2.41306575,Ag1K2P1
Ag1K2S4Sb1,82144.0,-3.60905171875,Ag1K2S4Sb1
Ag1K2S4V1,66840.0,-4.1400725,Ag1K2S4V1
Ag1K2Sb1,1155.0,-2.175572875,Ag1K2Sb1
Ag1K2Se4V1,50461.0,-3.7352284375,Ag1K2Se4V1
Ag1K3O2,200086.0,-3.2884503125,Ag1K3O2
Ag1La1Sb2,95223.0,-4.00509275,Ag1La1Sb2
Ag1La3S7Si1,605505.0,-5.58837554167,Ag1La3S7Si1
Ag1La3S7Sn1,417316.0,-5.36862220833,Ag1La3S7Sn1
Ag1La3Se7Si1,418059.0,-5.05208254167,Ag1La3Se7Si1
Ag1La3Se7Sn1,417803.0,-4.892253625,Ag1La3Se7Sn1
Ag1Li1,605515.0,-1.519212,Ag1Li1
Ag1Li2Pb1,58314.0,-2.321961,Ag1Li2Pb1
Ag1Li2Sb1,52589.0,-2.60388275,Ag1Li2Sb1
Ag1Li2Sn1,58318.0,-2.481656,Ag1Li2Sn1
Ag1Mn1O4,36072.0,-5.28178966667,Ag1Mn1O4
Ag1Mn1O4V1,246202.0,-6.66223692857,Ag1Mn1O4V1
Ag1Mn3N1,52592.0,-6.2918414,Ag1Mn3N1
Ag1Mo3Se3,603624.0,-5.09476578571,Ag1Mo3Se3
Ag1Mo6S8,600661.0,-5.820520266669999,Ag1Mo6S8
Ag1Mo6Se8,600325.0,-5.32849466667,Ag1Mo6Se8
Ag1Mo6Te6,40793.0,-5.12182815385,Ag1Mo6Te6
Ag1N1,167858.0,-2.818515,Ag1N1
Ag1N3,183201.0,-5.705734125,Ag1N3
Ag1Na1O1,40153.0,-3.16689441667,Ag1Na1O1
Ag1Na2Sb1,10010.0,-2.228931875,Ag1Na2Sb1
Ag1Na3O2,16919.0,-3.48723916667,Ag1Na3O2
Ag1Na3S2,201800.0,-3.03666116667,Ag1Na3S2
Ag1Nb1O3,55644.0,-6.46816115,Ag1Nb1O3
Ag1Nb1Rb2S4,50463.0,-4.31301075,Ag1Nb1Rb2S4
Ag1Nb1Rb2Se4,402423.0,-3.914251875,Ag1Nb1Rb2Se4
Ag1Nb2P1S10,59707.0,-4.96037207143,Ag1Nb2P1S10
Ag1Nb3O8,67244.0,-7.45879145833,Ag1Nb3O8
Ag1Nb3S4,605592.0,-5.6958545625,Ag1Nb3S4
Ag1Nb3Te4,605595.0,-4.6609198125,Ag1Nb3Te4
Ag1Ni1O2,73974.0,-4.2693699999999986,Ag1Ni1O2
Ag1Ni1Se2,605616.0,-3.03850675,Ag1Ni1Se2
Ag1Ni1Te2,605619.0,-2.76537875,Ag1Ni1Te2
Ag1O1,27667.0,-2.89957725,Ag1O1
Ag1O1Rb1,40155.0,-3.00195675,Ag1O1Rb1
Ag1O2Rb3,95831.0,-3.16270347917,Ag1O2Rb3
Ag1O2Rh1,261561.0,-4.495361,Ag1O2Rh1
Ag1O2Sc1,95668.0,-6.257055875,Ag1O2Sc1
Ag1O2Y1,95674.0,-6.3321485,Ag1O2Y1
Ag1O3V1,50645.0,-6.0537505,Ag1O3V1
Ag1P1S4Zn1,48197.0,-3.80423996429,Ag1P1S4Zn1
Ag1P1Sr1,52596.0,-3.33738466667,Ag1P1Sr1
Ag1P2,35283.0,-3.85898308333,Ag1P2
Ag1P2S6Sc1,63273.0,-4.8299672,Ag1P2S6Sc1
Ag1P2Sc1Se6,420302.0,-4.3136044999999985,Ag1P2Sc1Se6
Ag1P2Se6V1,68143.0,-4.2516205000000005,Ag1P2Se6V1
Ag1Pb1S3Sb1,24257.0,-3.80350925,Ag1Pb1S3Sb1
Ag1Pd3Se1,174642.0,-2.8162225,Ag1Pd3Se1
Ag1Rb1Se4,87463.0,-3.01243783333,Ag1Rb1Se4
Ag1Rb2S4Sb1,82146.0,-3.58018675,Ag1Rb2S4Sb1
Ag1Rb2S4V1,66841.0,-4.1198885625,Ag1Rb2S4V1
Ag1Rb2Se4V1,50462.0,-3.7159394375,Ag1Rb2Se4V1
Ag1Rb3Se8Sn3,416294.0,-3.5882145,Ag1Rb3Se8Sn3
Ag1Rb5Se27Ti6,280565.0,-4.26405757692,Ag1Rb5Se27Ti6
Ag1S2Sb1,16578.0,-3.5102769375,Ag1S2Sb1
Ag1Sb1Sr1,56990.0,-2.6443065,Ag1Sb1Sr1
Ag1Sb1Te2,170663.0,-2.8919985,Ag1Sb1Te2
Ag1Sc1Se2,155115.0,-4.37018,Ag1Sc1Se2
Ag1Sc6Te2,94859.0,-4.74184544444,Ag1Sc6Te2
Ag1Se1,605802.0,-1.989846,Ag1Se1
Ag1Se2Y1,605836.0,-4.57891825,Ag1Se2Y1
Ag1Si1Y1,605850.0,-4.394359,Ag1Si1Y1
Ag1Sn1Y1,416375.0,-3.9551915,Ag1Sn1Y1
Ag1Te1,55237.0,-2.04036565625,Ag1Te1
Ag1Te2Y1,605920.0,-4.097709,Ag1Te2Y1
Ag1Te2Y6,160181.0,-5.080645527780002,Ag1Te2Y6
Ag1Te3,37186.0,-2.53063525,Ag1Te3
Ag2Al1Li1,414342.0,-1.946915,Ag2Al1Li1
Ag2As3K5Se9,82637.0,-3.4041138947400005,Ag2As3K5Se9
Ag2As3Rb1Se6,88005.0,-3.43378866667,Ag2As3Rb1Se6
Ag2Ba1Cu1O8V2,422132.0,-5.9174684642900015,Ag2Ba1Cu1O8V2
Ag2Ba1Ge1S4,10040.0,-3.88158375,Ag2Ba1Ge1S4
Ag2Ba1Ge1Se4,411405.0,-3.503161,Ag2Ba1Ge1Se4
Ag2Ba1Ge2,25318.0,-2.822912,Ag2Ba1Ge2
Ag2Ba1Hg2O4,40835.0,-3.48087072222,Ag2Ba1Hg2O4
Ag2Ba1Mn1O8V2,408193.0,-6.49610378571,Ag2Ba1Mn1O8V2
Ag2Ba1S2,50183.0,-3.2684712000000005,Ag2Ba1S2
Ag2Ba1S4Sn1,41898.0,-3.79146925,Ag2Ba1S4Sn1
Ag2Ba1Se4Sn1,170856.0,-3.44168725,Ag2Ba1Se4Sn1
Ag2Ba1Sn2,25332.0,-2.6481076,Ag2Ba1Sn2
Ag2Ba1Te2,246048.0,-2.7596999,Ag2Ba1Te2
Ag2Bi2Cl2S3,412076.0,-3.34108638889,Ag2Bi2Cl2S3
Ag2Ca1Ge2,25316.0,-2.8004536,Ag2Ca1Ge2
Ag2Ca1O12V4,161369.0,-6.73371002632,Ag2Ca1O12V4
Ag2Cd1Ge1S4,423404.0,-3.32769865625,Ag2Cd1Ge1S4
Ag2Cl4Pd1,65239.0,-2.28857985714,Ag2Cl4Pd1
Ag2Cr1O4,160644.0,-5.06885985714,Ag2Cr1O4
Ag2Cr2O7,2433.0,-5.72624363636,Ag2Cr2O7
Ag2Cu2O3,51502.0,-3.3652232142900003,Ag2Cu2O3
Ag2Fe1S4Sn1,42534.0,-3.90654225,Ag2Fe1S4Sn1
Ag2Ge1In2S6,159759.0,-3.73542986364,Ag2Ge1In2S6
Ag2Ge1In2Se6,88168.0,-3.3558319090900004,Ag2Ge1In2Se6
Ag2Ge1K2S4,170843.0,-3.45678483333,Ag2Ge1K2S4
Ag2Ge1K2Se4,420014.0,-3.13869138889,Ag2Ge1K2Se4
Ag2Ge1Li1,85307.0,-2.1363380000000003,Ag2Ge1Li1
Ag2Ge1Pb1S4,180802.0,-3.6322981875,Ag2Ge1Pb1S4
Ag2Ge1S3,41711.0,-3.3597195,Ag2Ge1S3
Ag2Ge2O5,38380.0,-5.12265225926,Ag2Ge2O5
Ag2Ge2Sr1,25317.0,-2.7771676,Ag2Ge2Sr1
Ag2Ge3Li3,85306.0,-2.786747,Ag2Ge3Li3
Ag2Hf1S3,79251.0,-4.5416645,Ag2Hf1S3
Ag2Hg1I4,6069.0,-1.48959042857,Ag2Hg1I4
Ag2Hg1O2,280333.0,-2.55714245,Ag2Hg1O2
Ag2Hg1S2,201713.0,-2.1208678,Ag2Hg1S2
Ag2Hg1Se4Sn1,95094.0,-2.74556675,Ag2Hg1Se4Sn1
Ag2In1Li1,171472.0,-1.713159,Ag2In1Li1
Ag2In2S6Si1,159758.0,-3.90806290909,Ag2In2S6Si1
Ag2In2Se6Si1,154635.0,-3.48721104545,Ag2In2Se6Si1
Ag2K1Nb1Se4,412479.0,-3.63917475,Ag2K1Nb1Se4
Ag2K1P1S4,420033.0,-3.588657,Ag2K1P1S4
Ag2K1S3Sb1,420015.0,-3.21639242857,Ag2K1S3Sb1
Ag2K1S4Sb1,82143.0,-3.328894125,Ag2K1S4Sb1
Ag2K2Se4Sn1,90119.0,-3.08311222222,Ag2K2Se4Sn1
Ag2Li1Sn1,151446.0,-2.0564485,Ag2Li1Sn1
Ag2Li3Si3,85305.0,-2.93087475,Ag2Li3Si3
Ag2Mn1O4,35762.0,-4.71817482143,Ag2Mn1O4
Ag2Mn1O8Sr1V2,408052.0,-6.4744978928600005,Ag2Mn1O8Sr1V2
Ag2Mo1O4,36187.0,-5.34572685714,Ag2Mo1O4
Ag2Mo2O7,154826.0,-6.108667318180001,Ag2Mo2O7
Ag2Nb4O11,166952.0,-7.181858588239999,Ag2Nb4O11
Ag2Ni1O2,172559.0,-3.549328,Ag2Ni1O2
Ag2O1,31058.0,-2.290501,Ag2O1
Ag2O11V4,93453.0,-6.660956,Ag2O11V4
Ag2O12Sr1V4,161371.0,-6.72420831579,Ag2O12Sr1V4
Ag2O2Pd1,51499.0,-3.1962856,Ag2O2Pd1
Ag2O3,59193.0,-3.1316093,Ag2O3
Ag2O3Si1,36589.0,-5.12083779167,Ag2O3Si1
Ag2O3Sn1,89838.0,-4.321207402780002,Ag2O3Sn1
Ag2O3Ti1,84970.0,-5.283501375,Ag2O3Ti1
Ag2O4W1,4165.0,-5.79022105357,Ag2O4W1
Ag2O7W2,31028.0,-6.709212,Ag2O7W2
Ag2P1S3,24782.0,-3.45663608333,Ag2P1S3
Ag2P2S11Ti2,84606.0,-4.65275585294,Ag2P2S11Ti2
Ag2P3Rb2Se9Sn1,165267.0,-3.68691666176,Ag2P3Rb2Se9Sn1
Ag2Rb1S4Sb1,82145.0,-3.31639066667,Ag2Rb1S4Sb1
Ag2Rh15S15,605703.0,-4.3871423593699985,Ag2Rh15S15
Ag2S1,98453.0,-1.98727583333,Ag2S1
Ag2S3Si1,180764.0,-3.65237070833,Ag2S3Si1
Ag2S3Te1,85135.0,-2.91828208333,Ag2S3Te1
Ag2S4Si1Zn1,183705.0,-3.6286636875,Ag2S4Si1Zn1
Ag2Se1,260148.0,-1.81662191667,Ag2Se1
Ag2Si1,605838.0,-1.85393025,Ag2Si1
Ag2Si2Sr1,25330.0,-3.0284258,Ag2Si2Sr1
Ag2Sn2Sr1,414.0,-2.5512492,Ag2Sn2Sr1
Ag2Te1,73402.0,-1.66539866667,Ag2Te1
Ag3As1S3,40127.0,-2.91858325,Ag3As1S3
Ag3As1S4,86227.0,-3.06481275,Ag3As1S4
Ag3As1Se3,82636.0,-2.64701319048,Ag3As1Se3
Ag3As2K1S5,82638.0,-3.38164236364,Ag3As2K1S5
Ag3As2K3,32016.0,-2.20822325,Ag3As2K3
Ag3Au1S2,15732.0,-2.16644589583,Ag3Au1S2
Ag3Au1Se2,171959.0,-1.99746420833,Ag3Au1Se2
Ag3Au1Te2,604788.0,-1.84761770833,Ag3Au1Te2
Ag3Ba4Ge20,56980.0,-4.0326952037,Ag3Ba4Ge20
Ag3Br1S1,174097.0,-1.85954365,Ag3Br1S1
Ag3C6Fe1N6,173552.0,-6.586153,Ag3C6Fe1N6
Ag3C6K2N6Na1,65699.0,-6.05768827778,Ag3C6K2N6Na1
Ag3Cu1S2,163983.0,-2.235388,Ag3Cu1S2
Ag3Fe1O8V2,166890.0,-5.8546107142900015,Ag3Fe1O8V2
Ag3Ge3P6Sn2,52575.0,-4.07711717857,Ag3Ge3P6Sn2
Ag3Ge5P6,70055.0,-4.15185696429,Ag3Ge5P6
Ag3I1S1,201005.0,-1.7774061999999995,Ag3I1S1
Ag3K1S2,73581.0,-2.361835125,Ag3K1S2
Ag3K1Se2,402643.0,-2.192827,Ag3K1Se2
Ag3K1Te2,402230.0,-1.79626116667,Ag3K1Te2
Ag3K3Nb2S8,412478.0,-4.1899128125,Ag3K3Nb2S8
Ag3Li17Sn6,170571.0,-2.60517111538,Ag3Li17Sn6
Ag3Na1O2,9627.0,-2.76017358333,Ag3Na1O2
Ag3Na1S2,73198.0,-2.362236875,Ag3Na1S2
Ag3Ni2O4,172878.0,-3.8696717777800007,Ag3Ni2O4
Ag3O1,26557.0,-1.88594125,Ag3O1
Ag3O4,59225.0,-3.08472264286,Ag3O4
Ag3O4Ru1,59924.0,-4.028091000000001,Ag3O4Ru1
Ag3O4V1,417470.0,-4.71250075,Ag3O4V1
Ag3P11,26563.0,-4.4301730714300005,Ag3P11
Ag3P1S4,416585.0,-3.265695625,Ag3P1S4
Ag3P1Se4,97760.0,-2.860396875,Ag3P1Se4
Ag3P2S8Y1,417658.0,-4.27691292857,Ag3P2S8Y1
Ag3P6Si3Sn2,52595.0,-4.33601242857,Ag3P6Si3Sn2
Ag3P7Sn1,411041.0,-4.04329213636,Ag3P7Sn1
Ag3Rb1S2,1034.0,-2.33892366667,Ag3Rb1S2
Ag3Rb1Se2,90795.0,-2.17547975,Ag3Rb1Se2
Ag3Rb1Te2,90872.0,-2.01203225,Ag3Rb1Te2
Ag3S3Sb1,33714.0,-2.86483046429,Ag3S3Sb1
Ag3Sb1,52600.0,-1.57663,Ag3Sb1
Ag3Sn1,2721.0,-1.5569795,Ag3Sn1
Ag4Cd1Ge2S7,95121.0,-3.34109985714,Ag4Cd1Ge2S7
Ag4Ge2Hg1S7,95120.0,-3.22521082143,Ag4Ge2Hg1S7
Ag4K2S3,863.0,-2.4829075,Ag4K2S3
Ag4K2Se3,54102.0,-2.30878272222,Ag4K2Se3
Ag4Mn1S6Sb2,38360.0,-3.63859196154,Ag4Mn1S6Sb2
Ag4Mn2Mo6O24Zr1,154121.0,-6.8906494527,Ag4Mn2Mo6O24Zr1
Ag4O4Si1,418314.0,-4.18125294444,Ag4O4Si1
Ag4P2S7,949.0,-3.516652,Ag4P2S7
Ag4Rb2S3,409727.0,-2.44438761111,Ag4Rb2S3
Ag4S8Sn3,164440.0,-3.4981327000000006,Ag4S8Sn3
Ag5Ba2La1S6,67894.0,-3.71218021429,Ag5Ba2La1S6
Ag5Cl1Te2,413510.0,-1.7292135625,Ag5Cl1Te2
Ag5Cl2P1S4,416587.0,-2.81755058333,Ag5Cl2P1S4
Ag5Ge1O4,72317.0,-3.449130925,Ag5Ge1O4
Ag5K1S3,59334.0,-2.26306909259,Ag5K1S3
Ag5O4Si1,165377.0,-3.84830245,Ag5O4Si1
Ag5O6Pb2,24038.0,-3.69123223077,Ag5O6Pb2
Ag5Rb1S3,67984.0,-2.24723012963,Ag5Rb1S3
Ag5Rb1Se3,50738.0,-2.05114105556,Ag5Rb1Se3
Ag5S4Sb1,36347.0,-2.60297215,Ag5S4Sb1
Ag6Ba1O4,9288.0,-3.01001818182,Ag6Ba1O4
Ag6K2S10Sn3,170317.0,-3.32857544048,Ag6K2S10Sn3
Ag6Mo10O33,18300.0,-6.5248915102,Ag6Mo10O33
Ag6O4Sr1,10359.0,-3.01501456818,Ag6O4Sr1
Ag6O7Si2,33907.0,-4.56244117778,Ag6O7Si2
Ag7As1S6,604743.0,-2.61089676786,Ag7As1S6
Ag7As1Se6,604758.0,-2.3481833571400004,Ag7As1Se6
Ag7Nb1S6,84367.0,-2.95869182143,Ag7Nb1S6
Ag7P1S6,601451.0,-2.72865289286,Ag7P1S6
Ag7P1Se6,601452.0,-2.43031383929,Ag7P1Se6
Ag7Rb1S4,71645.0,-2.1655018125,Ag7Rb1S4
Ag7Te4,30391.0,-1.63336832727,Ag7Te4
Ag8Ba1S5,50662.0,-2.43903696429,Ag8Ba1S5
Ag8Ge1S6,100079.0,-2.5671567000000004,Ag8Ge1S6
Ag8Ge1Se6,10432.0,-2.3221641,Ag8Ge1Se6
Ag8S1,79770.0,-0.985438,Ag8S1
Ag8S6Si1,1054.0,-2.68592656667,Ag8S6Si1
Ag8S6Sn1,42533.0,-2.51662385,Ag8S6Sn1
Ag8S6Ti1,95648.0,-2.77693965,Ag8S6Ti1
Ag8Se6Sn1,95093.0,-2.2836867,Ag8Se6Sn1
Ag9Ga1Se6,2411.0,-2.165248375,Ag9Ga1Se6
Al11Na1O17,67545.0,-7.340248879310001,Al11Na1O17
Al12Ca1O27Si4,91233.0,-7.55169311364,Al12Ca1O27Si4
Al12Fe4Mg5Si6Y5,262939.0,-4.50501678125,Al12Fe4Mg5Si6Y5
Al13Cr4Si4,76116.0,-4.71884942857,Al13Cr4Si4
Al14O25Sr4,27744.0,-7.33016283721,Al14O25Sr4
Al17Pd8Si4,52650.0,-4.18981562069,Al17Pd8Si4
Al1As1,606011.0,-4.6797385,Al1As1
Al1As2,28673.0,-4.434848375,Al1As2
Al1As2K2Na1,73280.0,-3.33473916667,Al1As2K2Na1
Al1As2K3,300121.0,-3.2425624375,Al1As2K3
Al1As2Na3,63149.0,-3.35033925,Al1As2Na3
Al1As3Ca3,606012.0,-4.45132114286,Al1As3Ca3
Al1As3Cl4S5,415503.0,-4.146116384619998,Al1As3Cl4S5
Al1As3Cl4Se4,415504.0,-3.92810183333,Al1As3Cl4Se4
Al1As4Ca3Na3,402309.0,-3.79801740909,Al1As4Ca3Na3
Al1Au1O2,95663.0,-5.75743325,Al1Au1O2
Al1Au3O4Rb8,411730.0,-3.44958409375,Al1Au3O4Rb8
Al1B14Li1,35336.0,-6.37515478125,Al1B14Li1
Al1B14Ni20,408418.0,-5.17219814286,Al1B14Ni20
Al1B1Be1,43828.0,-4.78076866667,Al1B1Be1
Al1B1Mo1,16777.0,-6.35182483333,Al1B1Mo1
Al1B2,159334.0,-5.74997866667,Al1B2
Al1B2Cr2,20083.0,-6.4278324,Al1B2Cr2
Al1B2Fe2,23205.0,-6.0245115999999985,Al1B2Fe2
Al1B2Ir5Mg2,606101.0,-5.64427125,Al1B2Ir5Mg2
Al1B2Mn2,25518.0,-6.3667468000000005,Al1B2Mn2
Al1B4Cr3,20082.0,-6.70687775,Al1B4Cr3
Al1Ba1Ca1F7,281208.0,-5.887034357999999,Al1Ba1Ca1F7
Al1Ba1F5,80563.0,-5.889647708928571,Al1Ba1F5
Al1Ba1F6Li1,260011.0,-5.6705418977777775,Al1Ba1F6Li1
Al1Ba1F6Na1,402604.0,-5.573716910833332,Al1Ba1F6Na1
Al1Ba1Ge1,166380.0,-3.90144166667,Al1Ba1Ge1
Al1Ba1La1O4,62490.0,-7.382263285710001,Al1Ba1La1O4
Al1Ba1Si1,162866.0,-4.08249033333,Al1Ba1Si1
Al1Ba2In1O5,33805.0,-6.40730813889,Al1Ba2In1O5
Al1Ba3F9,72718.0,-5.833651413076923,Al1Ba3F9
Al1Ba3Sb3,32728.0,-4.0296454642900015,Al1Ba3Sb3
Al1Bi1,184567.0,-3.8013465,Al1Bi1
Al1Br1Cl4Sb2Te2,174524.0,-3.584341775,Al1Br1Cl4Sb2Te2
Al1Br7Se1,401396.0,-2.69184138889,Al1Br7Se1
Al1C1Co3,43847.0,-5.4541788,Al1C1Co3
Al1C1Cr2,606181.0,-6.737903375,Al1C1Cr2
Al1C1Fe3,43853.0,-5.7882988,Al1C1Fe3
Al1C1Mn3,43860.0,-6.8082428,Al1C1Mn3
