,smiles,ionization energy,electron affinity
3562,C/C=N/N1CCN[C]1C,-2.2118339023451496,-2.25556170959645
4871,C1CCN2CCC[C]2C1,-1.8752086979330445,-2.229711419061404
4872,C1CCN2CCO[C]2C1,-1.9436439407661743,-2.0842695212707643
4886,C1CC[C@@H]2CCN[C]2C1,-1.8158346622015928,-2.17153465994422
4909,C1CC[C@H]2CCN[C]2C1,-1.8148006505782115,-2.173330574867168
10604,C=CN1[CH]N(C)C=C1,-2.188459797537949,-2.060949838124614
10606,C=CN1[CH]N(CC)C=C1,-2.1826366794590424,-2.0593988206918614
18849,CC(C)C[C]1CCCN1,-1.8170047279822417,-2.4333028651402486
18931,CC(C)N([CH]N)C(C)C,-2.3196160084566846,-2.23444610385433
19012,CC(C)N1[CH]N(C)C=C1,-2.6220644077011057,-2.2067182659032127
19014,CC(C)N1[CH]NCCC1,-2.2951534703619574,-2.396541030917977
19144,CC(C)N[C](O)C(C)C,-1.8513175873118328,-2.030201597807301
20084,CC(C)[C](N)N,-2.3198609059453337,-2.384704318937207
20085,CC(C)[C](N)O,-1.8062292384553784,-2.008378510428212
20169,CC(C)[C]1NCCCO1,-1.9492493721869568,-2.1429632861973187
20170,CC(C)[C]1NCCN1,-2.326255451497755,-2.40024170408907
20171,CC(C)[C]1NCCN1C,-2.320568387580756,-2.3136568362158707
21176,CC1(C)CC[C](CN)N1,-1.8082972616959547,-2.1684870467459527
21582,CC1(C)N[CH]NC1(C)C,-2.1878339483987426,-2.1985005945957705
22952,CC1=CN(C)[CH]N1C,-2.6488670773602245,-2.129058550972878
22969,CC1=CN[CH]N[C@@H]1O,-1.9797799258476925,-2.185439395170207
23931,CC1NN[CH]NN1,-2.398962794978585,-2.039698178222133
25708,CCCCCC[C](N)N,-2.3652757847882007,-2.4226362189401267
25829,CCCCC[C](N)N,-2.344813239017359,-2.41482671011686
25892,CCCCN1[CH]NCC1,-2.1521877582929765,-2.1519700716363994
26406,CCCC[C](N)N,-2.3630172857215723,-2.4254389346512912
26434,CCCC[C]1CCCN1,-1.804460534366049,-2.3237248441088587
26575,CCCN1CCO[C]1C,-1.9596983317289545,-2.073167501755941
26747,CCCN[CH]NCCC,-2.2950990486978133,-2.2250855775983123
28207,CCC[C](CC)N(C)C,-1.952732358699925,-2.1901740799615874
28245,CCC[C](N)N,-2.3623098040861503,-2.424894718008302
28321,CCC[C]1CCCN1,-1.8134673198035824,-2.313221462902717
28651,CCN(C)[C](C)CCN,-1.8573039703816248,-2.4784456356623936
28653,CCN(C)[C]1CCC1,-1.800787072027029,-2.078528035688074
28654,CCN(C)[C]1CCNC1,-1.8398074053174749,-2.167398613459973
28719,CCN(CC)[C](C)CN,-1.808433315857862,-2.1795618554271567
28727,CCN(CCN)[C](C)C,-1.8580386628506664,-2.288541238149865
28800,CCN([CH]N)CC,-2.303289509171636,-2.180731921209353
28809,CCN([C](C)C)C(C)C,-1.8433176026625149,-2.2998065226571214
28899,CCN1CCC[C]1NC,-2.4216838398160547,-2.3600513050164285
28910,CCN1CCNC[C]1N,-2.4025818356534607,-2.197901956290184
29097,CCN1[CH]C=CN1CC,-2.030174386973682,-2.268895017345829
29160,CCN1[CH]N(C)C(C)=C1,-2.654064346298377,-2.2274801308268475
