,smiles,ionization energy,electron affinity
1501,C#C[C@H](C)[N]O,1.5930567559079796,-1.2218766182289529
5759,C=C(C)CO[NH],1.548186093708103,-1.2354820343006
6464,C=C(CO[NH])OCOC,1.7090293224917907,-1.1552645011492966
8989,C=CCCCCO[NH],1.5151793543226146,-1.326366213652025
9016,C=CCCCO[NH],1.5273153854561787,-1.289169006113506
9131,C=CCCO[NH],1.5400228440648045,-1.28516901378962
10704,C=COCCO[NH],1.6717232716280774,-1.1898222579690834
15280,CC(=O)CC(C)(C)O[NH],1.5396963140799391,-1.2317541502958886
15853,CC(=O)OC1C[N]C1,2.180620254325106,-1.090992515632485
17078,CC(C)(C)OCCO[NH],1.6226349304446428,-1.2683527195257265
18614,CC(C)CO[NH],1.507669164649049,-1.2871009828713826
18680,CC(C)C[C@H](C#N)[N]O,1.7904169214252894,-1.0478361358562465
19215,CC(C)OCCO[NH],1.618934257273552,-1.294828859199979
19628,CC(C)[C@H](C#N)[N]O,1.8201311501238608,-1.0399177837046918
22096,CC1(C)[N]O1,1.9919131334291649,-1.001305612896875
22151,CC1(CO[NH])COC1,1.5816282064082916,-1.2190466916872629
25226,CCCC#CCO[NH],1.701655186983225,-1.1684617547383145
25681,CCCCCCO[NH],1.5052746114220596,-1.2853322787820534
25741,CCCCCO[NH],1.50581882806505,-1.3033458496602144
26020,CCCCO[NH],1.505900460561266,-1.2826111955686517
26129,CCCC[C@H](C#N)[N]O,1.8365664927356509,-1.0522715014963802
27274,CCC[C@H](C#N)[N]O,1.8136821829057483,-1.0526252423133178
29823,CCOC(=O)CCO[NH],1.6084036652368845,-1.1972508151433394
29866,CCOC(=O)C[N]O,1.642036253761578,-1.246611264645948
29923,CCOC(=O)[C@H](C)O[NH],1.778226468626034,-1.1622032633447072
29928,CCOC(=O)[C@H](C)[N]O,1.623151936255561,-1.198720200076782
32383,CC[C@H](C#N)[N]O,1.810117563896564,-1.0228293811200766
32484,CC[C@H](C)CO[NH],1.510363037031924,-1.3340940899790743
33183,CC[C@H](O[NH])C(=O)OC,1.7583897719959447,-1.1230740867259734
33485,CC[C@](C)(C#N)[N]O,1.7862264532753516,-1.0634551535058718
37177,CN(C)CCCCO[NH],1.5236691339492312,-1.3382029256327947
37185,CN(C)CCCO[NH],1.5183902325148615,-1.283890104679136
37217,CN(C)CCO[NH],1.517573907549604,-1.3183934398332315
37714,CN(CCO)CCO[NH],1.6124036575592229,-1.255999001734038
38239,CN1CCC[C@H](O[NH])C1,1.511560313646192,-1.2760261741901786
38339,CN1CC[C@H](O[NH])C1,1.5134106502317382,-1.2580398141456364
40092,CNOCCO[NH],1.644920601968959,-1.205005902302461
41106,COC(=O)C(C)(C)O[NH],1.720675558649603,-1.0787204303370137
41208,COC(=O)CCCO[NH],1.5684853744849638,-1.2956996058293808
41218,COC(=O)CCO[NH],1.6471518902035154,-1.2101487495764705
41258,COC(=O)CO[NH],1.859396380902956,-1.1225026592509115
41364,COC(=O)NC1C[N]C1,2.07071570330885,-1.1619855766881302
41514,COC(=O)[C@H](C)O[NH],1.7450836750786394,-1.131727131346569
42658,COCCCO[NH],1.560186070681306,-1.2725703985077357
42760,COCCOCCO[NH],1.6476961068465048,-1.2502303053192767
42767,COCCOCO[NH],1.5118596328005325,-1.1154006320630678
44821,CO[C@]1(C)CC[N]C1,1.6210022805172208,-1.311155358483481
45739,CO[NH],1.5633969488750994,-1.29273362512501
50776,C[C@H](C#N)[N]O,1.8487297347028333,-1.036271532196197
50835,C[C@H](CC#N)O[NH],1.6851382118721243,-1.123863200857612
51045,C[C@H](CO[NH])CN(C)C,1.5257915788570455,-1.332842391700662
64020,C[NH],2.038770186375336,-1.1103938389490329
67118,N#CCCCO[NH],1.5846486087760328,-1.2678085028827368
67173,N#CCCO[NH],1.747451017475102,-1.1182577694368296
69013,NC[C@@]1(N)CC[N]C1,1.5247303564015908,-1.328570291054508
72792,O=S1(=O)CC[C@H]([N]O)C1,1.6612471012540064,-1.1301489030848382
78030,[CH2]C/C(N)=N\C#N,1.520730364077706,-1.265032998005191
81115,[CH2]CS(=O)(=O)CCC,1.5986349764982366,-1.032244329038693
81116,[CH2]CS(=O)(=O)CCN,1.627179139413066,-1.0233463869294472
81117,[CH2]CS(=O)(=O)CCO,1.678471557998983,-1.0080266884357083
81128,[CH2]CS(=O)(=O)[C@H](C)CN,1.5692744886181496,-1.021251152856799
81129,[CH2]CS(=O)(=O)[C@H]1C[C@@H]1CO,1.5767302566244783,-1.0302579382943329
81132,[CH2]CS(C)(=O)=O,1.6325668841757244,-1.0191559187779635
86274,[CH2][C@@H]1C=NOC1=O,1.5008936674476177,-1.0650605926027683
87063,[CH2][C@H](C#N)C(N)=O,1.5232881822986748,-1.0384211879360832
89612,[CH3],1.852838570356748,-1.1874821264037254
93583,[NH]O,1.8607569225096563,-1.2809513348076105
93594,[NH]OCCCCO,1.5287575595590963,-1.0954823029352156
93596,[NH]OCCCSC(=N)N,1.5979274948612678,-1.2834819421980534
93599,[NH]OCCON,1.5404037957153616,-1.22514191808689
93600,[NH]OCON,1.6861450126618882,-1.0192919729414172
93601,[NH]OC[C@@H]1CCCN1,1.6069614911324202,-1.2562166883921622
93602,[NH]OC[C@@H]1CCCO1,1.618553305624542,-1.229767759549982
93603,[NH]OC[C@@H]1CCOC1,1.5525126160184,-1.245196301375103
93604,[NH]OCc1ccco1,1.5621996722608325,-1.138012833570702
