smiles,ionization_energy_dft,electron_affinity_dft,max_spin_dft,spin_buried_vol_dft,ionization_energy_ml,electron_affinity_ml,max_spin_ml,spin_buried_vol_ml,stability_ml,stability_dft,V_diff,pass_redox
C/C(=C/CS)c1scc(N)c1[O],1.0841325623726918,0.0198897065170271,0.2811892425445928,60.34035614651062,1.02122163772583,-0.1723327338695526,0.2088967,60.17716,99.732325,96.28089401928099,1.0642428558556647,True
C/C=C(/C)C1=C(SC)[CH]C=C1,0.8277521019486027,-0.2577696246493488,0.3298825287250377,58.971384646663246,0.919137954711914,-0.2140542268753051,0.27409366,61.927734,98.223051,92.47725821041135,1.0855217265979515,True
C/C=C(/C)C1=C[CH]C=C1/C=C/C,0.9358879488739822,-0.2128717516158529,0.2910857803417458,56.14244695279712,0.8286483287811279,-0.3309565484523773,0.19802536,60.565964,100.66469599999999,91.58815793570983,1.1487597004898351,True
C/C=C(/C)c1scc(N)c1[O],1.0077789673895543,-0.048327849657979,0.2847914531763641,59.13988376845316,0.9548166990280152,-0.2085299789905548,0.18630362,59.30776,99.992579,94.90031110963496,1.0561068170475334,True
C/C=C(CC)\C(C#N)=C/[CH]S,0.7029904365822883,-0.3799190501274569,0.3188186411345524,60.57594768820959,0.9263145923614502,-0.3199626505374908,0.23468882,57.867332,96.132891,94.63501563148196,1.0829094867097453,True
C/C=C(\CC)C1=C(C)[CH]C=C1,0.812377981787626,-0.2861505225701983,0.3013293112921141,58.05244879885485,0.8321952819824219,-0.2861637771129608,0.277825,59.2321,95.34085,92.98598323424915,1.0985285043578243,True
C/C=C(\CO)[C]1C(C)=CC=C1C,0.9214662078386242,-0.2691981741459432,0.3488080301129234,61.59183017024888,0.8682942986488342,-0.3622582554817199,0.23980327,63.993958,102.0037945,94.15142866460272,1.1906643819845675,True
C/C=C/C1=C(C(C)C)C=C[CH]1,0.8893574259130634,-0.3077287124575441,0.2994823070080063,54.49409530095828,0.9263911247253418,-0.317290335893631,0.26752776,58.864883,95.488495,89.51997995055797,1.1970861383706075,True
C/C=C\C1=C(C(C)(C)N)[CH]C=C1,0.9874796866126924,-0.2036744903507203,0.2903893107014882,58.78356455855547,1.0383942127227783,-0.2543361485004425,0.23080628,63.521706,101.981392,94.26409902348107,1.1911541769634126,True
C/C=C\C1=C(C(C)C)C=C[CH]1,1.023098665886386,-0.2541505839729261,0.2877019435906104,56.783643198254346,0.947001338005066,-0.3172275125980377,0.27860218,59.982944,96.052835,92.39854601872383,1.2772492498593122,True
C/C=C\C1=C[CH]C=C1/C(C)=C\C,1.0488673239236697,-0.1746677432891186,0.2829599032486311,57.808996900213614,0.8922319412231445,-0.2908899486064911,0.24025902,61.77794,99.764989,93.66100173778206,1.2235350672127883,True
C/C=C\CC[C]1C(C)=CC=C1C,1.1954792874980518,-0.3688170306141809,0.4554641485942398,59.22968951693196,1.0823110342025757,-0.3677633106708526,0.20325407,61.81108,101.64837649999998,86.45648208721997,1.5642963181122327,True
C=C(C)C1=C(SC)[CH]C=C1,0.8687588259834085,-0.1923819950129388,0.3165183878253756,55.59127986476437,1.0490570068359375,-0.1845551431179046,0.2414308,58.22295,96.15141,89.76536047349558,1.0611408209963473,True
C=C(C)C1=C(SCC)[CH]C=C1,0.8764867023104577,-0.1804908613664775,0.3263633537721642,56.26876738365353,1.041967272758484,-0.1590139865875244,0.21671335,58.05509,97.21942250000001,89.95059969504533,1.0569775636769352,True
C=C(C)C1=C[CH]C=C1/C=C/C,0.9325954381855182,-0.1832391554150438,0.2969043121897676,53.32526188125636,0.9499139189720154,-0.287069171667099,0.18923987,57.053043,97.5910495,88.48004627176797,1.115834593600562,True
C=C(C)[C]1C(C)=CC=C1C,0.99686742370233,-0.2150486181862643,0.3389339278717264,60.52754888547727,1.0600225925445557,-0.3399114310741424,0.24308385,61.22027,99.0660775,93.58085249189095,1.2119160418885944,True
C=C(CC)C1=C(SC)C(C)=C[CH]1,1.0942822027665366,-0.1349671391953224,0.2936310835669127,57.994324281797454,0.988276183605194,-0.3469164967536926,0.22862521,61.984943,100.55368250000001,93.31277010345181,1.229249341961859,True
C=C(CC)[C]1C(C)=CC=C1C,1.0554795561342152,-0.2371438138845274,0.3525756568734136,61.03541304779178,1.0589056015014648,-0.3351717889308929,0.30427626,64.25324,99.039427,93.4066302041211,1.2926233700187426,True
C=C(CCO)/C(C#N)=C\[CH]S,0.8540105549631845,-0.3325449913723024,0.2790365950121392,51.82452275553414,0.9966198801994324,-0.2240651845932006,0.23192312,57.446888,95.850732,87.87269300492719,1.1865555463354869,True
C=C(CN)[C]1C(C)=CC=C1C,1.037683671914177,-0.208572440137627,0.3491225528855698,60.86317200988369,1.0660264492034912,-0.3360975980758667,0.27107143,62.863926,99.3103545,93.4070443656052,1.246256112051804,True
C=C1CCC2=C1C(CN)=C[CH]2,1.0457380782260932,-0.2002459255018962,0.2874553364402583,58.626362685700514,0.95854914188385,-0.1911919713020324,0.2549739,59.036163,96.287468,94.2535958636876,1.2459840037279895,True
C=C1CCCC2=CC=C(C)[C]12,1.0032075475921536,-0.2164907922907284,0.3094905907900766,61.026334423435365,0.9816530346870422,-0.3603441715240478,0.2912677,61.21255,96.649165,95.55180488393154,1.219698339882882,True
C=CC(C)(C)c1sc([O])cc1C,1.1435610197729282,-0.1404637272893625,0.4000395620770552,68.48115331754248,1.037040948867798,-0.141931265592575,0.32536635,66.15849,99.8901725,98.47917521368973,1.2840247470622907,True
C=CC1=CC=C(C)/C1=C\[CH]C,1.0964318585064223,0.0266379928879327,0.3356680694859007,58.28311113957964,0.9184890985488892,-0.2772585749626159,0.2084091,57.133324,96.712869,91.4997076652846,1.0697938656184895,True
C=CC1=C[CH]C2=C1C(C)=CCC2,0.9158607764193878,-0.2328989240704455,0.2752774624699105,62.39612887504134,0.8604170083999634,-0.3260746896266937,0.19305523,61.072136,101.4193745,98.63225575154581,1.1487597004898333,True
C=C[CH]/C(C)=C(\C#N)C(=C)C,1.0072619615801832,-0.3926809304033209,0.2305792983535464,46.8539794449825,1.0734483003616333,-0.3627007305622101,0.20966895,57.550594,97.0671465,85.32501452730517,1.3999428919835042,True
C=C[CH]/C(SC)=C1\C=CC=C1C,0.978146371188746,-0.1509398976618854,0.2253468712647457,57.53906502935752,1.013092875480652,-0.251332938671112,0.20700142,60.57083,100.220759,96.27172146612023,1.1290862688506313,True
CC(C)(S)c1cc(O)c([O])s1,0.9160240414102736,-0.2635111102289444,0.2607212069396689,61.8017237718004,1.0086146593093872,-0.2544468939304352,0.28807214,61.787266,97.38365900000001,98.76566342481695,1.179535151639218,True
CC/C(=C/[CH]C=O)C(CC)CC,0.9206498828764592,-0.249688007502268,0.3443651506220224,65.19559653671456,0.8639917373657227,-0.3573246896266937,0.3182104,66.46202,100.5515,97.97733900561343,1.1703378903787272,True
CC1(C)CC=CC2=C1C=C[CH]2,0.9067723584840904,-0.3233477301071694,0.2681388691719504,54.12074006150701,0.9323337078094482,-0.3139355182647705,0.2523072,62.74803,100.13267,90.7137966029095,1.2301200885912598,True
CC1(C)CCc2cc([O])sc21,1.0018742168144312,-0.2095248192616985,0.3972280223381226,63.39676291225107,1.0251786708831787,-0.1499040424823761,0.35075837,63.212437,95.6745185,93.53536179534494,1.2113990360761298,True
CC1=CC2=C(C=C[CH]2)C(C)(C)C1,0.6638612599635536,-0.442884915701712,0.2654551829277837,54.44896697408418,0.7929800152778625,-0.3874121010303497,0.24231923,62.684814,100.5688525,91.176207827695,1.1067461756652657,True
CC1=CC=C(C)[C]1/C(C)=C/CO,0.9140920723300584,-0.2678376325407896,0.3214818576610885,60.7267653760921,0.8239738941192627,-0.3781513571739197,0.23221765,61.498707,99.88782450000001,94.65267249303767,1.1819297048708481,True
CC1=CC=C(C)[C]1C(C)(C)CN,1.0561326161054927,-0.343973540870444,0.4686953802941072,70.67507052726266,1.1288009881973269,-0.3601475059986114,0.27692124,72.11017,108.264108,97.2403015125573,1.4001061569759368,True
CC1=CC=C(C)[C]1C1(C)CCC1,0.8337656958504667,-0.3996741142613289,0.4753791758073335,67.49186969511095,1.0551555156707764,-0.3404043018817901,0.26996642,67.25254,103.75421899999999,93.72291090474427,1.2334398101117956,True
CC1=CC=C(C)[C]1C1CC1,1.055316291140235,-0.4400821999905475,0.4300638741086566,59.703280995320426,0.8593375086784363,-0.383889764547348,0.24312243,60.216595,98.0604735,88.20008728988759,1.4953984911307825,True
