,smiles,time,real_reward,atom_type,buried_vol,max_spin,atom_index,IE,EA,BDE,V_diff
203414,COCC([C](O)O)=C(SC)C1=C(C)CC1,2020-10-21 14:38:26.504182,100.99272,C,63.531544,0.2507764,7,1.1225314,-0.2959575,74.72207641601562,1.418489
204996,CC(=O)[C](C(=O)C#CCO)N(C)CCO,2020-10-21 14:38:49.935324,100.654625,C,63.13936,0.24969472,3,0.8403625,-0.19496651,76.56230163574219,1.035329
219896,CCC([C](C(C)=O)C(N)=S)=C(O)C(C)=O,2020-10-21 14:43:58.610641,100.77502,C,65.02758,0.28505126,3,0.8811961,-0.20988995,73.83078002929688,1.091086
236387,CCN([C](C(C)=O)C(C)=C(C)O)C(C)=S,2020-10-21 14:50:49.664501,100.56711,C,69.192665,0.3725112,3,0.827935,-0.2169885,79.51801300048828,1.0449235
261523,CC[C](C(C)=O)N(C(C)(C)C)C(C)(C)O,2020-10-21 15:18:43.283425,100.77618,C,74.56997,0.47587588,2,0.92925715,-0.24382508,78.53284454345703,1.1730822
264796,CNC(=S)[C]1C(=O)SCCN1C(C)=O,2020-10-21 15:36:06.683092,103.69952,C,66.543236,0.25687435,4,1.14427,-0.27798727,47.679718017578125,1.4222572
334256,CCC(C)(C)C(C1=NOC1=O)=C(C)[CH]O,2020-10-22 09:49:45.833960,108.04072,C,72.705284,0.29329136,5,1.1589305,-0.20499134,74.85806274414062,1.3639219
412390,C=C(C)C1=C([CH]C)OC2=NC(=O)C2=C1N,2020-10-22 09:59:57.163836,100.18656,C,61.49188,0.22610638,3,1.022558,-0.38290775,77.84684753417969,1.4054657
423218,C=C(CC)C1=C[CH]C(OC)=C1OC(O)=S,2020-10-22 10:01:17.862863,102.70021,C,61.36985,0.17339277,10,1.1832099,0.15888606,69.15560913085938,1.0243238
486067,[CH2]C(CC)=C1C(=O)C(=O)ON=C1C1=CS1,2020-10-22 10:09:57.929430,100.65301,C,61.868187,0.22430363,4,1.0695472,-0.3892281,66.09867095947266,1.4587753
487565,CONC1=C([O])C(C(C)(N)N)=C1C(N)=S,2020-10-22 10:10:09.820290,101.371155,C,62.00484,0.21267375,6,0.8496658,-0.4394401,70.87535095214844,1.2891059
499093,C=C(C1=C(C#N)N2C[CH]C=C12)C(C)(C)N,2020-10-22 10:11:40.349645,100.01392,C,60.770924,0.21513997,2,0.8327878,-0.4142439,78.26940155029297,1.2470317
539117,[CH2]C(OO)=C(C1=C(O)C(=C)N1C)N(C)C,2020-10-22 10:18:21.793921,102.42231,C,63.57339,0.22302161,4,0.65808016,-0.3611533,78.63944244384766,1.0192335
540558,[CH2]C1=C(C(=S)C#N)N(CC)CC(C)=C1O,2020-10-22 10:18:36.885333,104.15302,C,65.79765,0.23289268,2,0.8832609,-0.35996413,78.94144439697266,1.2432251
541049,[CH2]C1=C(C(OC)=C(C#N)SC)C(CC)=C1,2020-10-22 10:18:41.081926,100.98905,C,61.441658,0.2090521,2,0.7382185,-0.2839337,75.11811828613281,1.0221522
541885,CN(C)C(=C(O)[CH]O)C(=C1CO1)N(C)C,2020-10-22 10:18:47.725845,100.90864,C,67.54891,0.33280554,3,1.0921218,-0.15238215,77.57605743408203,1.244504
547631,CON(C)C(=C(N)[O])C(C#N)=C(O)CN,2020-10-22 10:19:51.621456,101.50128,C,63.608482,0.24214402,4,0.51714534,-0.48423055,70.55291748046875,1.0013759
555989,COC(=C(C)N)C1=C([O])CCN1CSC,2020-10-22 10:21:18.090641,100.25978,C,66.31065,0.32101744,6,0.781045,-0.34099945,63.070167541503906,1.1220444
567926,CCN(C)[C](C(=O)OC)N(C)C(C)=NC,2020-10-22 10:24:05.609633,101.469124,C,66.68668,0.30435112,4,1.020225,-0.29480782,77.79788970947266,1.3150328
568839,COC(=O)[C](N(C)CCO)N(C)C(C)C,2020-10-22 10:24:14.108070,102.88419,C,69.65981,0.33551243,4,1.1221623,-0.2950531,79.35265350341797,1.4172155
571646,CCN(C)[C](C(=O)OC)N(C)C(C)(C)N,2020-10-22 10:24:39.168923,103.5669,C,71.64274,0.3615167,4,1.047807,-0.21465473,79.5593490600586,1.2624617
573216,CCN(SC)[C](C(=O)OC)N(C)C(C)C,2020-10-22 10:24:57.913054,102.59011,C,71.20644,0.3723266,5,1.1325884,-0.16785133,79.72894287109375,1.3004397
575506,[CH2]C(C(C)=O)=C1C(C)=CN(C)C(C)=C1C,2020-10-22 10:25:30.029914,102.372665,C,65.47507,0.262048,5,0.5649336,-0.44519854,78.27717590332031,1.0101321
577526,COC(=O)[C](N(C)C)N(C)[C@@H](C)C(C)C,2020-10-22 10:25:58.304751,100.95375,C,67.00773,0.32107955,4,1.10869,-0.2971491,78.98356628417969,1.4058391
581344,COC(=O)[C](N(C)C)N(C)C1(C)C=C1,2020-10-22 10:26:41.730351,100.676926,C,66.014626,0.30675393,4,0.97287184,-0.2870108,78.9481201171875,1.2598827
581525,CC=C(C)N[C](C(=O)OC)N(C)C(C)C,2020-10-22 10:26:43.604436,101.24475,C,63.063347,0.2363719,5,0.8621275,-0.37364236,70.14913940429688,1.2357699
