,smiles,err_smiles,ionization energy,pred ionization energy,electron affinity,pred electron affinity,stability,pred stability,err ionization energy,err electron affinity,err stability
1241,C=C1C([O])=C(C(C)(C)C)C(C(C)=O)=C1O,C=C1C([O])=C(C(C)(C)C)C(C(C)=O)=C1O,0.4494399026937019,1.1985661,-0.5726805850152936,0.1434053,100.5979077387654,104.8861038684845,-0.7491261764460075,-0.7160858883743253,-4.288196129719097
2571,CC1=C(C(C)C)C(=S)[CH]C=C1C(C)(C)C,CC1=C(C(C)C)C(=S)[CH]C=C1C(C)(C)C,1.634743750747683,0.9071144,0.0346379775403438,-0.32987285,63.94489750237703,104.7710779607296,0.7276293641891503,0.36451082414373737,-40.82618045835257
3205,CCC1=C(C)C(C(C)(C)C)=C[CH]C1=S,CCC1=C(C)C(C(C)(C)C)=C[CH]C1=S,1.628539681019766,0.9843692,0.0571957573838339,-0.30728847,63.41445431622645,103.83283334970474,0.6441704626703093,0.36448422526789764,-40.418379033478296
782,C=C(C)C1=C(/C(O)=C/[O])C(=O)CCCC1,C=C(C)C1=C(C(O)=C[O])C(=O)CCCC1,0.5559430996932049,1.1989433,-0.4522454419577308,0.02037929,85.59023387043182,100.93030112981796,-0.6430001576386433,-0.4726247319424339,-15.340067259386146
277,C/C=C(C)/C1=C(C)/C(=C/[O])CCCCC1,CC=C(C)C1=C(C)C(=C[O])CCCCC1,0.2689776639365018,0.8840939,-0.2731981664744696,-0.31469762,81.50839304357015,100.37806850671768,-0.6151162167168795,0.04149945677839906,-18.86967546314753
1915,CC(C)(C)C1=C[CH]C(=O)C=C1C1=CC1,CC(C)(C)C1=C[CH]C(=O)C=C1C1=CC1,1.7148524405722432,1.1090838,0.3920794685402287,-0.057294473,102.65543373572675,105.06464606523514,0.6057686688666157,0.4493739415922535,-2.4092123295083923
2459,CC/C=C(CCC)/C(=C(/O)[S])C(C)(C)C,CCC=C(CCC)C(=C(O)[S])C(C)(C)C,0.5815484927380554,1.1804098,-0.2027221112281951,-0.20270197,97.2589912471503,105.41623550653458,-0.5988612963473328,-2.01402933272532e-05,-8.157244259384271
1511,C=CCC(C)(C)/C(=C(\C)[O])C(C)(C)CC,C=CCC(C)(C)C(=C(C)[O])C(C)(C)CC,0.5768954404382516,1.1625296,-0.7826665766450129,-0.26438832,95.97495243318603,102.7624261379242,-0.5856341473074149,-0.5182782538148127,-6.7874737047381615
2068,CC(C)=C(C)/C(=C(\[O])O)C(C)(C)CO,CC(C)=C(C)C(=C([O])O)C(C)(C)CO,0.5054942169015249,1.0739384,-0.3648442491223673,-0.17023624,90.50391556735754,105.42423170804977,-0.5684441528494517,-0.1946080043246607,-14.920316140692236
3072,CCC(CC)C1=C(C)[CH]OC(=O)C1=S,CCC(CC)C1=C(C)[CH]OC(=O)C1=S,1.6134920908436552,1.0563548,0.1858757825778179,-0.21228077,67.71406259037605,102.18638235330582,0.557137329719998,0.3981565477536373,-34.47231976292977
