,smiles,ionization energy,electron affinity
12949,C=[C]/C=C(/C)C=O,0.4107188885575956,0.284433416590601
12953,C=[C]/C=C(\C)C(C)=O,0.3135762178141101,0.2142022588360701
20771,CC/N=N/[NH],0.1558078130615356,0.2314539264123443
22585,CC1=C/C(=[C]/NO)N=C1,0.1619574611260805,0.2724606504479228
29722,CCO/[C]=N/C#N,0.4672629977458111,0.4001066640216191
39195,CNC(=O)/[C]=N/OC,0.3303108795802405,0.2096852606997199
66805,N#C/C(=[C]/N)C(N)=O,0.4724330558518925,0.3039435832358244
67939,N/[C]=C1/N=COC1=O,0.3206510341698827,0.239018537747734
68081,N=N[N]CO,0.2558892536757726,0.3693584237027592
72397,O=CNN1N[C]=NN1,-0.0765726934231079,0.5744464655486645
74450,ON/[C]=C1/C=CC=N1,0.2910456488011466,0.3720522960840888
74451,ON/[C]=C1/C=CN=C1,0.3214401483015212,0.3641883655951314
