,smiles,ionization energy,electron affinity
429,C#CC1=C(CO)[N]N=C1,2.7110410052468827,1.1100372745765237
433,C#CC1=CC(C#C)=N[N]1,2.4152048382114595,1.2391526730852078
436,C#CC1=CC=N[N]1,2.5266059849963227,1.1649759446678418
447,C#CC1=C[N]N=C1,2.4397490088024014,1.3985809385980508
448,C#CC1=C[N]N=C1C,2.5117216598157377,1.11240461697144
451,C#CC1=N[N]C=C1,2.5275855749524663,1.1641324088720584
2362,C#Cc1ccnc([O])n1,3.289543296562329,1.4500094113427815
2441,C/C(=N/O)C1=C[N+]=NS1,3.5440189987444626,2.526143400848003
2625,C/C([N]C#N)=N\CC#N,3.5725903724898176,1.268622004293583
4574,C1=CN=C2N=CN=C2[N]1,2.65955811083646,1.4496284596953195
4751,C1=NC2=C[N]C=NC2=N1,2.7363198683068672,1.5334650335184037
4753,C1=NC=C2N=CN=C2[N]1,2.7324287193097234,1.533601087680312
4779,C1=N[N]c2ccnnc21,2.9443194691906798,1.1952071791773309
4780,C1=N[N]c2cnncc21,2.972999686267416,1.3540912280471842
4782,C1=N[N]c2nccnc21,2.82685030683826,1.2049486570823582
4784,C1=Nc2cccnc2[N]1,2.507748878323924,1.222145902995262
4785,C1=Nc2ccncc2[N]1,2.4559394539270896,1.2479417718661647
4786,C1=Nc2cnccc2[N]1,2.460102711243408,1.2478057177058035
4787,C1=Nc2ncccc2[N]1,2.512837303933789,1.2225268546458192
4788,C1=Nc2ncncc2[N]1,2.737734831576165,1.5334922443520238
4789,C1=Nc2nncn2[N]1,2.5185787895149323,1.2067173611716884
4791,C1=[N+]c2ccccc2O1,3.526168692858735,2.2527289594988016
4796,C1=c2nccnc2=N[N]1,2.8221700437094768,1.2048670245876894
5625,C=C(C)C1=N[N]N=N1,2.604374543254946,1.58489350626623
7185,C=C1C(=O)C=C[N]C1=O,3.0873940245879483,1.139071232470198
7243,C=C1C=NC(=O)[N]1,2.8452720401975045,1.0134932421401714
7957,C=C1[N]C(=O)OC1=O,3.14646874116506,1.2155336707862645
8693,C=CC1=CC=C(C)[N+]=C1,2.994033659511772,1.8860085747360216
8694,C=CC1=CC=CC=[N+]1,3.3789853018077443,2.123804036816169
