,smiles,time,real_reward,atom_type,buried_vol,max_spin,atom_index,ie,ea,bde
114065,C=C1[CH]C(C(N)=O)=C(C(N)=O)C1(C)C,2021-01-08 19:15:47.142419,193.37553,C,66.779305,0.2682999,7,0.98442394,-0.47656187,76.52647
142063,CCC1=C(C(=O)OC)C(=C[O])CC1(C)C,2021-01-08 19:19:09.022549,195.74481,C,67.68401,0.3110553,2,1.14294,-0.15988189,75.857155
143812,NCC(=S)C1=C([CH]O)CCCCC1=O,2021-01-08 19:19:22.122778,189.23978,C,64.850746,0.28886575,4,0.87559354,-0.13684148,74.82768
144078,C=CC(=S)C1=C([CH]O)CCCCC1=O,2021-01-08 19:19:26.576958,194.08449,C,63.29656,0.26094145,4,0.9517828,-0.1073438,74.27815
144249,NCC(=S)C1=C([CH]O)CCCC(=O)C1=O,2021-01-08 19:19:26.981991,191.69907,C,65.08732,0.28950173,4,1.1268861,0.049856238,73.51373
144642,O=C1CCCCC([CH]O)=C1C(=S)CS,2021-01-08 19:19:22.746626,192.40797,C,65.54364,0.27336505,9,0.9031001,-0.12520412,74.82768
144816,CC(=N)C(=S)C1=C([CH]O)CCCCC1=O,2021-01-08 19:19:23.342876,199.33797,C,65.65223,0.27539283,5,0.9745812,-0.11833574,73.68082
147328,CC(C)(C)c1c(CN)cn(O)c1[O],2021-01-08 19:20:01.740505,199.56892,C,68.438736,0.25568596,4,0.78074324,-0.44013146,66.88423
148310,CCC(C)(C)C(=C[O])C(C)(C)N,2021-01-08 19:20:10.003120,196.59808,C,74.2928,0.4422836,5,1.1354184,-0.38223043,76.428734
161112,CCC(=S)C1=C(CC)[CH]CCCCC1=S,2021-01-08 19:21:40.057321,195.74712,C,69.34342,0.2705384,4,0.9772255,-0.1765735,79.35184
170334,C=C(N)C(=C(C)[O])C(C)(C)C(C)(C)N,2021-01-08 19:22:42.195750,197.10738,C,74.604256,0.38488293,3,1.1168981,-0.3340826,77.9084
