num_train,mae_ie_1,mae_ea_1,mae_ie_2,mae_ea_2,mae_ie_3,mae_ea_3,avg_ie,avg_ea,sd_ie,sd_ea,se_ie,se_ea
100,0.6917219732292103,0.5534125931164283,0.6887698851835472,0.4960011235166215,0.6645668037922794,0.5520836332712157,0.6816862207350122,0.5338324499680884,0.014899145388299428,0.03276962739146795,0.008602025600630047,0.018919553195707758
210,0.6295657174007544,0.4828742711517784,0.5566944534595618,0.4617860983352314,0.6180918304394911,0.4770739300060176,0.6014506670999358,0.4739114331643424,0.039182285730506576,0.010893979892139605,0.022621903213972807,0.0062896422232731715
441,0.489680496147376,0.389508228624032,0.4719699633743917,0.3449019585516845,0.4555116487310748,0.34228787514463693,0.47238736941761417,0.3588993541067845,0.017088247548924015,0.026540266717277057,0.009865904322350244,0.015323030133584376
926,0.37666888843704893,0.3050206402078092,0.35618714023937265,0.2510404039684679,0.3798703836863353,0.2749240703096517,0.370908804120919,0.2769950381619763,0.012849433199122821,0.027049642456006627,0.0074186237164476755,0.015617118353458557
1944,0.2800472473255002,0.2023948216340272,0.2509035181670499,0.1691512378674925,0.2735158263133053,0.2050604445873735,0.2681555306019518,0.19220216802963108,0.015293423910300202,0.020007134288478036,0.008829662411442882,0.011551124367165787
4084,0.1784207348491286,0.13098901907584842,0.19781250885571092,0.1485317374767542,0.19232999996738148,0.14103731134116715,0.18952108122407366,0.1401860226312566,0.009996386505156246,0.008802287292180671,0.0057714164396755014,0.005082002937624933
8576,0.14289052448289224,0.10880238795962267,0.13271026575800485,0.1003694431124978,0.12713664637595962,0.10604292129777483,0.1342458122056189,0.10507158412329844,0.007988403846927615,0.004299565283671398,0.0046121071114191,0.0024823551739260514
18011,0.10327042127989304,0.0825405455716417,0.09234420963131276,0.07715296566872018,0.08791429482058892,0.07306748901580791,0.09450964191059824,0.07758700008538993,0.00790376351339434,0.004751419738735652,0.004563239992069365,0.0027432334651919304
37824,0.0731319641187199,0.06264321361511095,0.06914337473047223,0.060281262551110174,0.06904311035239216,0.060460886916186486,0.07043948306719476,0.06112845436080253,0.0023322958422966793,0.0013148908422439501,0.0013465516323798328,0.0007591525817245184
79432,0.05575864751515892,0.04780882938453198,0.049282826253656264,0.04026028260907734,0.048626228104614866,0.03933177231678369,0.05122256729114335,0.04246696143679767,0.003942055064475887,0.004649429827301105,0.0022759465526354813,0.0026843495623705685
