id,action_node_id,comp_type
icsd_415471,_1_1_3|monoclinic|icsd_415471,_1_1_3
icsd_020012,_1_1_3|hexagonal|icsd_020012,_1_1_3
icsd_077579,_1_1_3|monoclinic|icsd_077579,_1_1_3
icsd_161482,_1_1_3|orthorhombic|icsd_161482,_1_1_3
icsd_040757,_1_1_3|monoclinic|icsd_040757,_1_1_3
icsd_152054,_1_1_3|hexagonal|icsd_152054,_1_1_3
icsd_162047,_1_1_3|cubic|icsd_162047,_1_1_3
icsd_261322,_1_1_3|monoclinic|icsd_261322,_1_1_3
icsd_076062,_1_1_3|cubic|icsd_076062,_1_1_3
icsd_611766,_1_1_3|cubic|icsd_611766,_1_1_3
icsd_040362,_1_1_3|hexagonal|icsd_040362,_1_1_3
icsd_153173,_1_1_3|cubic|icsd_153173,_1_1_3
icsd_077391,_1_1_3|cubic|icsd_077391,_1_1_3
icsd_068714,_1_1_3|cubic|icsd_068714,_1_1_3
icsd_062230,_1_1_3|monoclinic|icsd_062230,_1_1_3
icsd_077398,_1_1_3|cubic|icsd_077398,_1_1_3
icsd_181288,_1_1_3|cubic|icsd_181288,_1_1_3
icsd_240449,_1_1_3|cubic|icsd_240449,_1_1_3
icsd_190792,_1_1_3|cubic|icsd_190792,_1_1_3
icsd_098494,_1_1_3|cubic|icsd_098494,_1_1_3
icsd_161820,_1_1_3|orthorhombic|icsd_161820,_1_1_3
icsd_174097,_1_1_3|orthorhombic|icsd_174097,_1_1_3
icsd_168715,_1_1_3|trigonal|icsd_168715,_1_1_3
icsd_052629,_1_1_3|cubic|icsd_052629,_1_1_3
icsd_183902,_1_1_3|monoclinic|icsd_183902,_1_1_3
icsd_180417,_1_1_3|orthorhombic|icsd_180417,_1_1_3
icsd_075274,_1_1_3|monoclinic|icsd_075274,_1_1_3
icsd_249515,_1_1_3|orthorhombic|icsd_249515,_1_1_3
icsd_413166,_1_1_3|trigonal|icsd_413166,_1_1_3
icsd_002139,_1_1_3|tetragonal|icsd_002139,_1_1_3
icsd_080732,_1_1_3|monoclinic|icsd_080732,_1_1_3
icsd_016690,_1_1_3|orthorhombic|icsd_016690,_1_1_3
icsd_010253,_1_1_3|trigonal|icsd_010253,_1_1_3
icsd_001818,_1_1_3|orthorhombic|icsd_001818,_1_1_3
icsd_060578,_1_1_3|trigonal|icsd_060578,_1_1_3
icsd_069349,_1_1_3|orthorhombic|icsd_069349,_1_1_3
icsd_088975,_1_1_3|orthorhombic|icsd_088975,_1_1_3
icsd_063512,_1_1_3|monoclinic|icsd_063512,_1_1_3
icsd_624615,_1_1_3|hexagonal|icsd_624615,_1_1_3
icsd_049696,_1_1_3|orthorhombic|icsd_049696,_1_1_3
icsd_169661,_1_1_3|trigonal|icsd_169661,_1_1_3
icsd_174265,_1_1_3|tetragonal|icsd_174265,_1_1_3
icsd_053506,_1_1_3|cubic|icsd_053506,_1_1_3
icsd_089805,_1_1_3|trigonal|icsd_089805,_1_1_3
icsd_079626,_1_1_3|orthorhombic|icsd_079626,_1_1_3
icsd_033281,_1_1_3|orthorhombic|icsd_033281,_1_1_3
icsd_032677,_1_1_3|triclinic|icsd_032677,_1_1_3
icsd_051291,_1_1_3|orthorhombic|icsd_051291,_1_1_3
icsd_171756,_1_1_3|orthorhombic|icsd_171756,_1_1_3
icsd_181090,_1_1_3|cubic|icsd_181090,_1_1_3
icsd_168862,_1_1_3|tetragonal|icsd_168862,_1_1_3
icsd_050161,_1_1_3|cubic|icsd_050161,_1_1_3
icsd_025540,_1_1_3|cubic|icsd_025540,_1_1_3
icsd_029521,_1_1_3|orthorhombic|icsd_029521,_1_1_3
icsd_091776,_1_1_3|trigonal|icsd_091776,_1_1_3
